,id,time,callsign,lasmax_dB,label,type,tags,duration,registration,operator
122,132054371,2025-03-01 14:49:54,SIA7394,80.0,21,Boeing 747 412F,,104,9V-SFP,Singapore Airlines Cargo
123,132054381,2025-03-01 14:53:10,KLM78G,72.70000030130772,21,Embraer ERJ 190-100 STD,,65,PH-EZE,
125,132054401,2025-03-01 14:56:41,KLM72N,73.79999980891819,21,Embraer ERJ190-100STD,,51,PH-EXA,KLM Cityhopper
126,132054411,2025-03-01 14:58:40,TKJ5DT,74.19999988079942,21,Boeing 737NG 8F2/W,,76,TC-JFZ,Turkish Airlines
129,132054441,2025-03-01 15:23:34,XRO1016,58.700000224255575,21,Dassault Mystère-Falcon 900,Oostbaan04_L,42,PH-NDK,
130,132054451,2025-03-01 15:53:54,NJE858M,63.99999997816296,21,Textron Aviation Citation Latitude,,55,CS-LAU,Corporate
131,132054461,2025-03-01 16:10:30,LWG40A,62.50000034008066,21,Cessna 525A CitationJet CJ2,,84,9H-ALL,Luxwing
134,132054491,2025-03-01 17:30:32,ROT363W,72.00000015667216,21,Boeing 737NG 78J/W,,47,YR-BGH,
136,132054511,2025-03-01 17:33:50,KLM34V,71.79999992425358,21,Boeing 737-900,,69,PH-BXP,
137,132054521,2025-03-01 17:35:30,MPH9442,80.10000032566394,21,Boeing 747-400F,,70,PH-CKC,
138,132054531,2025-03-01 17:38:19,KLM62W,72.40000002698865,21,Embraer ERJ 190-100 STD,,46,PH-EZC,
139,132054541,2025-03-01 17:39:57,KLM1316,72.10000014429497,21,Boeing 737-800,,56,PH-BCK,KLM Royal Dutch Airlines
141,132054561,2025-03-01 17:42:53,KLM60Q,71.49999995505664,21,Boeing 737-700,,53,PH-BGM,
142,132054571,2025-03-01 17:44:09,ETD917,76.09999986897547,21,Boeing 777 FFX,,58,A6-DDC,Etihad Airways Cargo
143,132054581,2025-03-01 17:45:47,KLM58K,72.90000022878823,21,Boeing 737-900,,51,PH-BXO,
144,132054591,2025-03-01 17:47:18,DLH9MC,68.50000012358494,21,Bombardier CRJ 900 LR NG,,54,D-ACNM,Lufthansa
145,132054601,2025-03-01 17:48:39,KLM44C,70.19999987690602,21,Embraer ERJ 170-200 STD,,45,PH-EXZ,KLM Cityhopper
146,132054611,2025-03-01 17:49:59,EVA075,76.300000182976,21,Boeing 777 35EER,,61,B-16726,EVA Airways
147,132054621,2025-03-01 17:51:49,KLM1856,72.90000022878823,21,Boeing 737-800,,49,PH-BXY,
148,132054631,2025-03-01 17:53:05,AIC155,72.70000030130772,21,Boeing 787 8,,46,VT-ANV,Air India
149,132054641,2025-03-01 17:54:42,ETD58B,76.20000025576854,21,Boeing 777 3FXER,,81,A6-ETH,Etihad Airways Cargo
150,132054651,2025-03-01 17:56:47,KLM1368,73.10000024328873,21,Boeing 737-800,,67,PH-BGC,
152,132054671,2025-03-01 17:59:24,KLM844,77.19999972932891,21,Boeing 777-300ER,,51,PH-BVC,
153,132054681,2025-03-01 18:02:58,AUA3TC,72.29999980331316,21,Embraer EMB-195 LR,,69,OE-LWJ,Austrian Airlines
154,132054691,2025-03-01 18:04:27,EJU63TY,70.60000022813793,21,Cessna Citation CJ1,,60,OE-FCW,
155,132054701,2025-03-01 18:06:34,KLM37X,72.70000030130772,21,Boeing 737-800,,83,PH-BCE,
156,132054711,2025-03-01 18:11:45,KLM28W,73.59999974234984,21,Boeing 737-800,,74,PH-BXU,
158,132054731,2025-03-01 18:15:00,KLM34B,71.79999992425358,21,Embraer ERJ 190-100 STD,,54,PH-EZD,
160,132054751,2025-03-01 18:17:56,AFR1440,73.00000003109373,21,Airbus A320 214,,78,F-GKXI,
161,132054761,2025-03-01 18:21:24,KLM25M,68.50000012358494,21,Embraer ERJ 170-200 STD,,59,PH-EXX,KLM Cityhopper
162,132054771,2025-03-01 18:22:51,KLM83C,72.60000045231574,21,Boeing 737-800,,60,PH-BXB,
163,132054781,2025-03-01 18:24:46,KLM54G,73.50000019403488,21,Boeing 737-800,,57,PH-BXZ,
164,132054791,2025-03-01 18:26:35,KLM47V,71.49999995505664,21,Canadair CL-600-2B19 CRJ-200LR,,48,D-ACJJ,
166,132054811,2025-03-01 18:30:05,KLM64H,69.59999982672304,21,Embraer ERJ 170-200 STD,,58,PH-EXN,KLM Cityhopper
168,132054831,2025-03-01 18:33:32,KLM1298,68.70000034434003,21,Embraer ERJ 170-200 STD,,66,PH-EXP,KLM Cityhopper
169,132054841,2025-03-01 18:35:53,KLM1246,70.19999987690602,21,Embraer ERJ 170-200 STD,,54,PH-EXG,
170,132054851,2025-03-01 18:37:40,KLM59W,71.19999992793724,21,Boeing 737-700,,69,PH-BGF,
172,132054871,2025-03-01 18:40:56,TRA6606,74.19999988079942,21,Boeing 737-800,,50,PH-HSJ,
173,132054881,2025-03-01 18:42:18,KLM52L,70.99999974718538,21,Embraer ERJ 170-200 STD,,44,PH-EXJ,
174,132054891,2025-03-01 18:43:45,KLM1782,71.6000001822286,21,Boeing 737-800,,71,PH-BXH,
175,132054901,2025-03-01 18:45:15,KLM24P,71.49999995505664,21,Embraer ERJ 190-100 STD,,43,PH-EXV,KLM Cityhopper
176,132054911,2025-03-01 18:46:23,KLM1960,73.00000003109373,21,Boeing 737-800,,60,PH-HSD,
177,132054921,2025-03-01 18:48:01,KLM31Y,75.8999997071542,21,Boeing 737-800,,54,PH-BCD,
178,132054931,2025-03-01 18:49:33,UAE149,75.30000007289749,21,Airbus A380 861,,76,A6-EOT,Emirates Airline
179,132054941,2025-03-01 18:51:44,KLM46A,71.4000000092348,21,Boeing 737-800,,45,PH-BCH,KLM Royal Dutch Airlines
180,132054951,2025-03-01 18:52:54,KLM80Z,73.10000024328873,21,Boeing 737-900,,48,PH-BXT,
183,132054981,2025-03-01 18:57:14,KLM36Z,75.50000021397656,21,Boeing 737-900,,72,PH-BXS,
184,132054991,2025-03-01 18:58:47,EZY27KA,72.79999976266063,21,Airbus A320 214,,77,G-EZUW,EasyJet
185,132055001,2025-03-01 19:00:27,VLG45BB,68.3000003500983,21,Airbus A320-271N,,52,EC-MZT,Vueling Airlines
186,132055011,2025-03-01 19:02:20,KLM9935,71.2999999836018,21,Embraer ERJ 190-100 STD,,37,PH-EXE,Klm Cityhopper
187,132055021,2025-03-01 19:22:53,ZXP06,66.69999992824013,21,Eurocopter Deutschland EC135 P2+,Aalsmeerbaan36R_T,56,PH-PXF,
189,132055041,2025-03-01 20:43:40,ZXP06,68.50000012358494,21,Eurocopter Deutschland EC135 P2+,Aalsmeerbaan36R_T,50,PH-PXF,
190,132082621,2025-03-02 06:05:41,TRA5315,49.50000020806143,21,Boeing 737-800,Kaagbaan06_T,17,PH-HXK,Transavia
191,132082641,2025-03-02 06:23:31,IBS1796,57.100000271734885,21,Airbus A320 214,Kaagbaan06_T,41,EC-JFN,
192,132082651,2025-03-02 06:26:39,VLG68ZD,52.10000014429497,21,Airbus A320 232SL,Kaagbaan06_T,21,EC-LVS,Vueling Airlines
193,132082661,2025-03-02 06:27:51,KLM1917,53.299999822736524,21,Embraer ERJ190-100LR,Kaagbaan06_T,45,PH-EZV,KLM Cityhopper
194,132082671,2025-03-02 06:29:07,KLM89W,53.299999822736524,21,Embraer ERJ 170-200 STD,Kaagbaan06_T,44,PH-EXW,KLM Cityhopper
196,132082691,2025-03-02 06:32:43,TRA4J,74.79999992544442,21,Boeing 737-800,Aalsmeerbaan36R_T,57,PH-HZE,
197,132082701,2025-03-02 06:35:12,EJU84XT,64.50000030539135,21,Airbus A319 111,Aalsmeerbaan36R_T,51,OE-LDB,Austrian Airlines
198,132082711,2025-03-02 06:36:27,EJU47RY,68.19999989586735,21,Airbus A319-111,Aalsmeerbaan36R_T,65,OE-LQU,EasyJet Europe
199,132082721,2025-03-02 06:38:16,KLM1601,73.90000007902604,21,Boeing 737-800,Aalsmeerbaan36R_T,66,PH-BCD,
200,132082731,2025-03-02 06:39:41,EJU62LY,70.40000016911358,21,Airbus A319-111,Aalsmeerbaan36R_T,66,OE-LQA,EasyJet Europe
201,132082741,2025-03-02 06:43:20,KLM35J,74.89999985588426,21,Boeing 737-800,Aalsmeerbaan36R_T,62,PH-BCA,
202,132082751,2025-03-02 06:45:29,TRA45A,74.99999974364995,21,Boeing 737-800,Aalsmeerbaan36R_T,75,PH-HZX,
204,132082771,2025-03-02 06:49:39,TFL1NC,73.69999992280833,21,Boeing 737-8MAX,Aalsmeerbaan36R_T,58,PH-TFO,TUI Airlines Netherlands
205,132082781,2025-03-02 06:51:02,KLM27E,71.19999992793724,21,Boeing 737-700,Aalsmeerbaan36R_T,65,PH-BGF,
206,132082791,2025-03-02 06:52:55,SWR3PB,68.60000034911712,21,Airbus A320 214,Oostbaan04_T,86,HB-IJL,Swiss International Air Lines
207,132082801,2025-03-02 06:57:25,KLM49K,72.40000002698865,21,Embraer ERJ 170-200 STD,Aalsmeerbaan36R_T,71,PH-EXS,Klm Cityhopper
208,132082811,2025-03-02 06:58:47,TRA6T,73.79999980891819,21,Boeing 737-800,Aalsmeerbaan36R_T,69,PH-HXG,Transavia
209,132082821,2025-03-02 07:02:25,AUA3NA,74.40000017300947,21,Airbus A320 214,Aalsmeerbaan36R_T,99,OE-LBR,Austrian Airlines
212,132082851,2025-03-02 07:11:21,DLH5A,73.10000024328873,21,Airbus A320 214,Aalsmeerbaan36R_T,77,D-AIZA,Lufthansa
213,132082861,2025-03-02 07:13:25,KLM13H,71.09999973823213,21,Embraer ERJ 170-200 STD,Aalsmeerbaan36R_T,68,PH-EXZ,KLM Cityhopper
214,132082871,2025-03-02 07:15:15,KLM61B,68.3000003500983,21,Embraer ERJ 190-100 STD,Oostbaan04_T,58,PH-EXE,Klm Cityhopper
216,132082891,2025-03-02 07:18:06,EJU46ZH,71.6000001822286,21,Cessna Citation CJ1,Aalsmeerbaan36R_T,52,OE-FCW,
218,132082911,2025-03-02 07:21:21,TRA72L,74.99999974364995,21,Boeing 737-800,Aalsmeerbaan36R_T,72,PH-HSA,
219,132082921,2025-03-02 07:22:47,KLM1771,74.99999974364995,21,Boeing 737-800,Aalsmeerbaan36R_T,52,PH-BCE,
220,132082931,2025-03-02 07:24:59,KLM1135,70.70000028647661,21,Boeing 737-800,Aalsmeerbaan36R_T,69,PH-BCG,KLM Royal Dutch Airlines
221,132082941,2025-03-02 07:26:23,ITY119,67.80000024305672,21,Airbus A319 112,Aalsmeerbaan36R_T,77,EI-IMO,Alitalia
225,132082981,2025-03-02 07:35:47,KLM1403,70.90000014685438,21,Boeing 737-800,Aalsmeerbaan36R_T,73,PH-BXK,
228,132083011,2025-03-02 07:40:13,EJU5284,74.40000017300947,21,Airbus A320 - 214SL,Aalsmeerbaan36R_T,77,OE-IVL,Easyjet Europe
229,132083021,2025-03-02 07:42:14,KLM27J,71.89999995114472,21,Boeing 737-800,Aalsmeerbaan36R_T,59,PH-HSD,
230,132083031,2025-03-02 07:45:22,NJE549A,67.50000026971176,21,Textron Aviation Citation Latitude,Aalsmeerbaan36R_T,90,CS-LAU,Corporate
232,132083051,2025-03-02 07:48:25,KLM41N,73.59999974234984,21,Boeing 737-900,Aalsmeerbaan36R_T,55,PH-BXS,
234,132083071,2025-03-02 07:50:51,KLM911,70.99999974718538,21,Embraer ERJ 190-100 STD,Aalsmeerbaan36R_T,49,PH-EZC,
236,132083091,2025-03-02 07:53:00,KLM45H,74.89999985588426,21,Boeing 737-800,Aalsmeerbaan36R_T,51,PH-BXH,
238,132083111,2025-03-02 07:55:19,KLM43Q,74.49999966618532,21,Boeing 737-900,Aalsmeerbaan36R_T,55,PH-BXO,
239,132083121,2025-03-02 07:56:22,DLH3A,72.40000002698865,21,Airbus A319 114,Aalsmeerbaan36R_T,49,D-AILY,Lufthansa
240,132083131,2025-03-02 07:57:42,KLM1283,73.40000027786077,21,Embraer ERJ 170-200 STD,Aalsmeerbaan36R_T,48,PH-EXJ,
242,132083151,2025-03-02 08:01:20,KLM1163,76.20000025576854,21,Embraer ERJ 170-200 STD,Aalsmeerbaan36R_T,62,PH-EXM,KLM Cityhopper
245,132083181,2025-03-02 08:05:51,KLM33B,74.99999974364995,21,Embraer ERJ 170-200 STD,Aalsmeerbaan36R_T,67,PH-EXR,KLM Cityhopper
248,132083211,2025-03-02 08:16:31,BAW2AM,65.29999986404401,21,Airbus A319 131,Aalsmeerbaan36R_T,62,G-EUOG,British Airways
249,132083221,2025-03-02 08:17:48,KLM1849,74.99999974364995,21,Canadair CL-600-2B19 CRJ-200LR,Aalsmeerbaan36R_T,53,D-ACJJ,
251,132083241,2025-03-02 08:20:07,KLM1787,72.79999976266063,21,Embraer ERJ 170-200 STD,Aalsmeerbaan36R_T,61,PH-EXP,KLM Cityhopper
253,132083261,2025-03-02 08:27:53,KLM1579,72.79999976266063,21,Boeing 737-800,Aalsmeerbaan36R_T,53,PH-BCH,KLM Royal Dutch Airlines
254,132083271,2025-03-02 08:28:59,DLH2TJ,73.50000019403488,21,Airbus A320 214SL,Aalsmeerbaan36R_T,66,D-AIUE,Lufthansa
255,132083281,2025-03-02 08:31:11,KLM40N,69.4000000054426,21,Embraer ERJ 190-100 STD,Aalsmeerbaan36R_T,89,PH-EZF,
256,132083291,2025-03-02 08:32:31,EJU7927,74.30000016573446,21,Airbus A319-111,Aalsmeerbaan36R_T,61,OE-LQS,EasyJet Europe
257,132083301,2025-03-02 08:34:14,KLM64X,69.19999997293675,21,Embraer ERJ 190-100 STD,Aalsmeerbaan36R_T,76,PH-EZA,
259,132083321,2025-03-02 08:39:52,NJE9FF,63.000000326110325,21,Embraer Phenom 300,Oostbaan04_T,55,CS-PHJ,
260,132083331,2025-03-02 08:41:35,KLM73Y,70.90000014685438,21,Embraer ERJ 170-200 STD,Aalsmeerbaan36R_T,50,PH-EXT,KLM Cityhopper
262,132083351,2025-03-02 08:45:26,KLM39J,76.70000028754066,21,Embraer ERJ 170-200 STD,Aalsmeerbaan36R_T,46,PH-EXG,
263,132083361,2025-03-02 08:46:39,KLM97L,76.20000025576854,21,Boeing 737-800,Aalsmeerbaan36R_T,52,PH-BXI,
264,132083371,2025-03-02 08:47:48,KLM34G,76.49999972598631,21,Boeing 737-800,Aalsmeerbaan36R_T,93,PH-BGC,
265,132083381,2025-03-02 08:50:40,KLM99B,71.49999995505664,21,Boeing 737-700,Aalsmeerbaan36R_T,40,PH-BGI,
267,132083401,2025-03-02 08:53:14,KLM661,68.60000034911712,21,Airbus SAS A330-303,Kaagbaan06_T,45,PH-AKE,
269,132083421,2025-03-02 08:56:57,TRA5W,74.89999985588426,21,Boeing 737-800,Aalsmeerbaan36R_T,76,PH-HSJ,
270,132083431,2025-03-02 08:58:31,KLM85A,76.59999978920537,21,Boeing 737-800,Aalsmeerbaan36R_T,58,PH-BXA,
271,132083441,2025-03-02 09:04:16,KLM37F,78.10000000930995,21,Boeing 737-800,Aalsmeerbaan36R_T,46,PH-BXC,
272,132083451,2025-03-02 09:05:35,KLM81Y,71.89999995114472,21,Boeing 737-800,Aalsmeerbaan36R_T,60,PH-BXD,
273,132083461,2025-03-02 09:06:43,KLM27U,78.49999974751833,21,Embraer ERJ 190-100 STD,Aalsmeerbaan36R_T,79,PH-EZH,
275,132083481,2025-03-02 09:11:10,KLM1817,74.99999974364995,21,Embraer ERJ 190-100 STD,Aalsmeerbaan36R_T,58,PH-EXY,KLM Cityhopper
276,132083491,2025-03-02 09:12:21,AFR18CQ,68.3000003500983,21,Airbus A320 214,Aalsmeerbaan36R_T,64,F-GKXI,
277,132083501,2025-03-02 09:13:54,AFR1795,71.2999999836018,21,Embraer EMB-170 STD,Aalsmeerbaan36R_T,132,F-HBXE,Regional Airlines/Air France
280,132083531,2025-03-02 09:23:47,KLM41H,78.3000002729034,21,Boeing 737-800,Aalsmeerbaan36R_T,53,PH-BCB,
281,132083541,2025-03-02 09:25:20,KLM535,75.50000021397656,21,Airbus SAS A330-203,Aalsmeerbaan36R_T,57,PH-AOC,
283,132083561,2025-03-02 09:28:26,KLM119,81.60000013371007,21,Boeing 777-300ER,Aalsmeerbaan36R_T,53,PH-BVD,
284,132083571,2025-03-02 09:29:25,KLM163,60.399999933542134,21,Boeing 777-300ER,Kaagbaan06_T,40,PH-BVI,
285,132083581,2025-03-02 09:30:42,KLM94R,76.79999982564107,21,Boeing 737-800,Aalsmeerbaan36R_T,60,PH-BXM,
286,132083591,2025-03-02 09:32:17,KLM55Z,77.90000010974319,21,Embraer ERJ 170-200 STD,Aalsmeerbaan36R_T,57,PH-EXW,KLM Cityhopper
287,132083601,2025-03-02 09:34:25,KLM75C,77.99999986803743,21,Boeing 737-900,Aalsmeerbaan36R_T,46,PH-BXP,
288,132083611,2025-03-02 09:36:45,KLM1775,76.300000182976,21,Boeing 737-800,Aalsmeerbaan36R_T,41,PH-BGA,
290,132083631,2025-03-02 09:40:55,KLM93W,78.20000001511025,21,Boeing 737-800,Aalsmeerbaan36R_T,73,PH-BXL,
291,132083641,2025-03-02 09:43:22,SIA323,79.0000003745162,21,Airbus A350 941,Aalsmeerbaan36R_T,66,9V-SMM,Singapore Airlines
292,132083651,2025-03-02 09:49:07,UAE2W,80.80000021002658,21,Boeing 777 31HER,Aalsmeerbaan36R_T,64,A6-EGR,Emirates
